Ref,Model,Image Alg,Dataset,Accuracy,Obs,Convergiu
15,Resnet 18,Skeleton-DML,Minds,0.93,,
15,Resnet 18,Skeleton-DML,Ufop,0.82,,
15,Resnet 18,Skeleton-DML,KSL,0.63,,
15,Resnet 18,Skeleton-DML,Include50,0.97,,
18,Resnet 18,Skeleton-Magnitude,Minds,0.72,,
18,Resnet 18,Skeleton-Magnitude,Ufop,0.57,,
18,Resnet 18,Skeleton-Magnitude,KSL,0.14,,
18,Resnet 18,Skeleton-Magnitude,Include50,0.07,,
19,Resnet 18,SL-DML,Minds,0.88,,
19,Resnet 18,SL-DML,Ufop,0.78,,
19,Resnet 18,SL-DML,KSL,0.42,,
19,Resnet 18,SL-DML,Include50,0.87,,
21,Vit Medium,Skeleton-DML,Minds,0.93,,
21,Vit Medium,Skeleton-DML,Ufop,0.81,,
21,Vit Medium,Skeleton-DML,KSL,0.62,,
21,Vit Medium,Skeleton-DML,Include50,0.91,,
23,Resnet 50,Skeleton-DML,Minds,0.9,,
23,Resnet 50,Skeleton-DML,Ufop,0.7,,
23,Resnet 50,Skeleton-DML,KSL,0.54,,
23,Resnet 50,Skeleton-DML,Include50,0.91,,
28,Resnet 50,Skeleton-Magnitude,Minds,0.71,,Não
28,Resnet 50,Skeleton-Magnitude,Ufop,0.56,,
28,Resnet 50,Skeleton-Magnitude,KSL,0.25,,
28,Resnet 50,Skeleton-Magnitude,Include50,0.68,,
29,Resnet 50,SL-DML,Minds,0.92,,
29,Resnet 50,SL-DML,Ufop,0.75,,
29,Resnet 50,SL-DML,KSL,0.46,,
29,Resnet 50,SL-DML,Include50,0.87,,
24,mobilenet_v4_hybrid_medium,Skeleton-DML,Minds,0.87,,
24,mobilenet_v4_hybrid_medium,Skeleton-DML,Ufop,0.7,,
24,mobilenet_v4_hybrid_medium,Skeleton-DML,KSL,0.52,,
24,mobilenet_v4_hybrid_medium,Skeleton-DML,Include50,0.89,,
30,mobilenet_v4_hybrid_medium,Skeleton-Magnitude,Minds,0.47,,Não
30,mobilenet_v4_hybrid_medium,Skeleton-Magnitude,Ufop,0.48,,
30,mobilenet_v4_hybrid_medium,Skeleton-Magnitude,KSL,0.12,,
30,mobilenet_v4_hybrid_medium,Skeleton-Magnitude,Include50,0.02,,
31,mobilenet_v4_hybrid_medium,SL-DML,Minds,0.8,,
31,mobilenet_v4_hybrid_medium,SL-DML,Ufop,0.54,,
31,mobilenet_v4_hybrid_medium,SL-DML,KSL,0.37,,
31,mobilenet_v4_hybrid_medium,SL-DML,Include50,0.86,,
27,efficientnet-b6,Skeleton-DML,Minds,0.89,,
27,efficientnet-b6,Skeleton-DML,Ufop,0.78,,
27,efficientnet-b6,Skeleton-DML,KSL,0.46,,
27,efficientnet-b6,Skeleton-DML,Include50,0.05,,
33,Resnet 18,Skeleton-DML,Minds,0.91590,100 frames,
32,Resnet 18,Skeleton-DML,Minds,0.92955,120 frames,
34,Resnet 18,Skeleton-DML,Minds,0.91313,140 frames,
35,Resnet 18,Skeleton-DML,Minds,0.91094,160 frames,
37,Resnet 18,Skeleton-DML,Ufop,0.82979,65 frames,
55,mobilenet_v4_hybrid_medium,Skeleton-Magnitude,Minds,0.58,,
