,name,frames,dataset_augmented,optimizer,epochs,batch_size,total_params,test_loss,test_accuracy,val_loss,val_accuracy,max_val_accuracy_epoch,optimizer_learning_rate,optimizer_weight_decay
0,diego_80_lstm_dense,80,True,Adam,1000,128,161152,0.9175287485122681,0.809374988079071,1.1293209791183472,0.8125,536,0.001,1e-05
1,dudu_80_32lstm_bn_dense_dropout_dense,80,True,Adam,1000,128,49856,0.6972986459732056,0.8187500238418579,0.7227731943130493,0.839062511920929,97,0.001,1e-05
2,dudu_80_32lstm_dense_dropout_dense,80,True,Adam,1000,128,49728,0.783600926399231,0.809374988079071,0.8005601167678833,0.8125,137,0.001,1e-05
3,dudu_80_32lstm_dense_dropout_dense_adam_1e-4,80,True,Adam,1000,128,49728,0.6367270350456238,0.8062499761581421,1.3037264347076416,0.7203124761581421,947,0.0001,
4,dudu_80_3_32lstm_bn_32dense_dropout,80,True,Adam,1000,128,60288,0.8397079706192017,0.8343750238418579,1.3353397846221924,0.809374988079071,469,0.001,1e-05
5,dudu_80_3_32lstm_bn_64dense_dropout,80,True,Adam,1000,128,66496,0.6116539239883423,0.8687499761581421,1.0799041986465454,0.8140624761581421,380,0.001,1e-05
6,dudu_80_3_64lstm_bn_32dense_dropout,80,True,Adam,1000,128,158336,1.2375609874725342,0.809374988079071,1.122135877609253,0.8453124761581421,310,0.001,1e-05
7,dudu_80_3_64lstm_bn_32dense_no_dropout,80,True,Adam,1000,128,158336,0.5710050463676453,0.84375,0.9095619320869446,0.8374999761581421,235,0.001,1e-05
8,dudu_80_3_64lstm_bn_64dense_dropout,80,True,Adam,1000,128,165568,0.9695166349411011,0.828125,1.4329607486724854,0.823437511920929,578,0.001,1e-05
9,dudu_80_64lstm_bn_32dense_dropout,80,True,Adam,1000,128,92288,1.1247848272323608,0.784375011920929,0.8285222053527832,0.828125,191,0.001,1e-05
10,dudu_80_64lstm_bn_dense_dropout_dense_adam,80,True,Adam,1000,128,99520,0.9157794117927551,0.8125,0.9915362596511841,0.832812488079071,465,0.001,1e-05
11,dudu_80_64lstm_bn_dense_dropout_dense_adam_1e-4,80,True,Adam,1000,128,99520,0.7156570553779602,0.871874988079071,1.1396204233169556,0.8125,894,0.0001,
